 Offer , Total Cost of Loan , Down Payment , Principle ,Rate,Down Payment: Percent of Total Offer, Monthly Payment , 25% Total Cost of Loan , 30% Total Cost of Loan , 25% of Total Monthly Payment , 30% of Total Monthly Payment , 25% of Down Payment , 30% of Down Payment , Rent 1 , Rent 2 , Rent 3 , 25% Payment - R1 , 30% Payment - R1 , 25% Payment - R2 , 30% Payment - R2 , 25% Payment - R3 , 30% Payment - R3 ,Total Paid After 5 Years,Amount Left to Pay for Us at 25% Ownership,Amount Left to Pay for Us at 30% Ownership,Save a Month for us at 25% Ownership,Save a Month for us at 30% Ownership
" $850,000.00 "," $705,596.97 "," $400,000.00 "," $450,000.00 ",6.5%,47.1%," $3,919.98 "," $176,399.24 "," $211,679.09 ", $980.00 ," $1,175.99 "," $100,000.00 "," $120,000.00 "," $5,000.00 "," $6,000.00 "," $7,000.00 ", $(270.00), $(324.01), $(520.00), $(624.01), $(770.00), $(924.01)," $235,198.99 "," $117,599.49 "," $141,119.39 "," $1,959.99 "," $2,351.99 "
" $850,000.00 "," $728,050.90 "," $400,000.00 "," $450,000.00 ",7.0%,47.1%," $4,044.73 "," $182,012.72 "," $218,415.27 "," $1,011.18 "," $1,213.42 "," $100,000.00 "," $120,000.00 "," $5,000.00 "," $6,000.00 "," $7,000.00 ", $(238.82), $(286.58), $(488.82), $(586.58), $(738.82), $(886.58)," $242,683.63 "," $121,341.82 "," $145,610.18 "," $2,022.36 "," $2,426.84 "
" $850,000.00 "," $750,880.01 "," $400,000.00 "," $450,000.00 ",7.5%,47.1%," $4,171.56 "," $187,720.00 "," $225,264.00 "," $1,042.89 "," $1,251.47 "," $100,000.00 "," $120,000.00 "," $5,000.00 "," $6,000.00 "," $7,000.00 ", $(207.11), $(248.53), $(457.11), $(548.53), $(707.11), $(848.53)," $250,293.34 "," $125,146.67 "," $150,176.00 "," $2,085.78 "," $2,502.93 "
" $850,000.00 "," $721,497.59 "," $375,000.00 "," $475,000.00 ",6.0%,44.1%," $4,008.32 "," $180,374.40 "," $216,449.28 "," $1,002.08 "," $1,202.50 "," $93,750.00 "," $112,500.00 "," $5,000.00 "," $6,000.00 "," $7,000.00 ", $(247.92), $(297.50), $(497.92), $(597.50), $(747.92), $(897.50)," $240,499.20 "," $120,249.60 "," $144,299.52 "," $2,004.16 "," $2,404.99 "
" $850,000.00 "," $744,796.80 "," $375,000.00 "," $475,000.00 ",6.5%,44.1%," $4,137.76 "," $186,199.20 "," $223,439.04 "," $1,034.44 "," $1,241.33 "," $93,750.00 "," $112,500.00 "," $5,000.00 "," $6,000.00 "," $7,000.00 ", $(215.56), $(258.67), $(465.56), $(558.67), $(715.56), $(858.67)," $248,265.60 "," $124,132.80 "," $148,959.36 "," $2,068.88 "," $2,482.66 "
" $850,000.00 "," $768,498.17 "," $375,000.00 "," $475,000.00 ",7.0%,44.1%," $4,269.43 "," $192,124.54 "," $230,549.45 "," $1,067.36 "," $1,280.83 "," $93,750.00 "," $112,500.00 "," $5,000.00 "," $6,000.00 "," $7,000.00 ", $(182.64), $(219.17), $(432.64), $(519.17), $(682.64), $(819.17)," $256,166.06 "," $128,083.03 "," $153,699.63 "," $2,134.72 "," $2,561.66 "
" $850,000.00 "," $792,595.57 "," $375,000.00 "," $475,000.00 ",7.5%,44.1%," $4,403.31 "," $198,148.89 "," $237,778.67 "," $1,100.83 "," $1,320.99 "," $93,750.00 "," $112,500.00 "," $5,000.00 "," $6,000.00 "," $7,000.00 ", $(149.17), $(179.01), $(399.17), $(479.01), $(649.17), $(779.01)," $264,198.52 "," $132,099.26 "," $158,519.11 "," $2,201.65 "," $2,641.99 "
" $850,000.00 "," $759,471.15 "," $350,000.00 "," $500,000.00 ",6.0%,41.2%," $4,219.28 "," $189,867.79 "," $227,841.34 "," $1,054.82 "," $1,265.79 "," $87,500.00 "," $105,000.00 "," $5,000.00 "," $6,000.00 "," $7,000.00 ", $(195.18), $(234.21), $(445.18), $(534.21), $(695.18), $(834.21)," $253,157.05 "," $126,578.52 "," $151,894.23 "," $2,109.64 "," $2,531.57 "
" $850,000.00 "," $783,996.63 "," $350,000.00 "," $500,000.00 ",6.5%,41.2%," $4,355.54 "," $195,999.16 "," $235,198.99 "," $1,088.88 "," $1,306.66 "," $87,500.00 "," $105,000.00 "," $5,000.00 "," $6,000.00 "," $7,000.00 ", $(161.12), $(193.34), $(411.12), $(493.34), $(661.12), $(793.34)," $261,332.21 "," $130,666.10 "," $156,799.33 "," $2,177.77 "," $2,613.32 "
" $850,000.00 "," $808,945.44 "," $350,000.00 "," $500,000.00 ",7.0%,41.2%," $4,494.14 "," $202,236.36 "," $242,683.63 "," $1,123.54 "," $1,348.24 "," $87,500.00 "," $105,000.00 "," $5,000.00 "," $6,000.00 "," $7,000.00 ", $(126.46), $(151.76), $(376.46), $(451.76), $(626.46), $(751.76)," $269,648.48 "," $134,824.24 "," $161,789.09 "," $2,247.07 "," $2,696.48 "
" $850,000.00 "," $834,311.12 "," $350,000.00 "," $500,000.00 ",7.5%,41.2%," $4,635.06 "," $208,577.78 "," $250,293.34 "," $1,158.77 "," $1,390.52 "," $87,500.00 "," $105,000.00 "," $5,000.00 "," $6,000.00 "," $7,000.00 ", $(91.23), $(109.48), $(341.23), $(409.48), $(591.23), $(709.48)," $278,103.71 "," $139,051.85 "," $166,862.22 "," $2,317.53 "," $2,781.04 "
" $850,000.00 "," $797,444.70 "," $325,000.00 "," $525,000.00 ",6.0%,38.2%," $4,430.25 "," $199,361.18 "," $239,233.41 "," $1,107.56 "," $1,329.07 "," $81,250.00 "," $97,500.00 "," $5,000.00 "," $6,000.00 "," $7,000.00 ", $(142.44), $(170.93), $(392.44), $(470.93), $(642.44), $(770.93)," $265,814.90 "," $132,907.45 "," $159,488.94 "," $2,215.12 "," $2,658.15 "
" $850,000.00 "," $823,196.46 "," $325,000.00 "," $525,000.00 ",6.5%,38.2%," $4,573.31 "," $205,799.12 "," $246,958.94 "," $1,143.33 "," $1,371.99 "," $81,250.00 "," $97,500.00 "," $5,000.00 "," $6,000.00 "," $7,000.00 ", $(106.67), $(128.01), $(356.67), $(428.01), $(606.67), $(728.01)," $274,398.82 "," $137,199.41 "," $164,639.29 "," $2,286.66 "," $2,743.99 "
" $850,000.00 "," $849,392.72 "," $325,000.00 "," $525,000.00 ",7.0%,38.2%," $4,718.85 "," $212,348.18 "," $254,817.81 "," $1,179.71 "," $1,415.65 "," $81,250.00 "," $97,500.00 "," $5,000.00 "," $6,000.00 "," $7,000.00 ", $(70.29), $(84.35), $(320.29), $(384.35), $(570.29), $(684.35)," $283,130.91 "," $141,565.45 "," $169,878.54 "," $2,359.42 "," $2,831.31 "
" $850,000.00 "," $876,026.68 "," $325,000.00 "," $525,000.00 ",7.5%,38.2%," $4,866.81 "," $219,006.67 "," $262,808.00 "," $1,216.70 "," $1,460.04 "," $81,250.00 "," $97,500.00 "," $5,000.00 "," $6,000.00 "," $7,000.00 ", $(33.30), $(39.96), $(283.30), $(339.96), $(533.30), $(639.96)," $292,008.89 "," $146,004.45 "," $175,205.34 "," $2,433.41 "," $2,920.09 "
" $850,000.00 "," $835,418.26 "," $300,000.00 "," $550,000.00 ",6.0%,35.3%," $4,641.21 "," $208,854.56 "," $250,625.48 "," $1,160.30 "," $1,392.36 "," $75,000.00 "," $90,000.00 "," $5,000.00 "," $6,000.00 "," $7,000.00 ", $(89.70), $(107.64), $(339.70), $(407.64), $(589.70), $(707.64)," $278,472.75 "," $139,236.38 "," $167,083.65 "," $2,320.61 "," $2,784.73 "
" $850,000.00 "," $862,396.29 "," $300,000.00 "," $550,000.00 ",6.5%,35.3%," $4,791.09 "," $215,599.07 "," $258,718.89 "," $1,197.77 "," $1,437.33 "," $75,000.00 "," $90,000.00 "," $5,000.00 "," $6,000.00 "," $7,000.00 ", $(52.23), $(62.67), $(302.23), $(362.67), $(552.23), $(662.67)," $287,465.43 "," $143,732.72 "," $172,479.26 "," $2,395.55 "," $2,874.65 "
" $850,000.00 "," $889,839.99 "," $300,000.00 "," $550,000.00 ",7.0%,35.3%," $4,943.56 "," $222,460.00 "," $266,952.00 "," $1,235.89 "," $1,483.07 "," $75,000.00 "," $90,000.00 "," $5,000.00 "," $6,000.00 "," $7,000.00 ", $(14.11), $(16.93), $(264.11), $(316.93), $(514.11), $(616.93)," $296,613.33 "," $148,306.66 "," $177,968.00 "," $2,471.78 "," $2,966.13 "
" $850,000.00 "," $917,742.24 "," $300,000.00 "," $550,000.00 ",7.5%,35.3%," $5,098.57 "," $229,435.56 "," $275,322.67 "," $1,274.64 "," $1,529.57 "," $75,000.00 "," $90,000.00 "," $5,000.00 "," $6,000.00 "," $7,000.00 ", $24.64 , $29.57 , $(225.36), $(270.43), $(475.36), $(570.43)," $305,914.08 "," $152,957.04 "," $183,548.45 "," $2,549.28 "," $3,059.14 "
" $875,000.00 "," $721,497.59 "," $400,000.00 "," $475,000.00 ",6.0%,45.7%," $4,008.32 "," $180,374.40 "," $216,449.28 "," $1,002.08 "," $1,202.50 "," $100,000.00 "," $120,000.00 "," $5,000.00 "," $6,000.00 "," $7,000.00 ", $(247.92), $(297.50), $(497.92), $(597.50), $(747.92), $(897.50)," $240,499.20 "," $120,249.60 "," $144,299.52 "," $2,004.16 "," $2,404.99 "
" $875,000.00 "," $744,796.80 "," $400,000.00 "," $475,000.00 ",6.5%,45.7%," $4,137.76 "," $186,199.20 "," $223,439.04 "," $1,034.44 "," $1,241.33 "," $100,000.00 "," $120,000.00 "," $5,000.00 "," $6,000.00 "," $7,000.00 ", $(215.56), $(258.67), $(465.56), $(558.67), $(715.56), $(858.67)," $248,265.60 "," $124,132.80 "," $148,959.36 "," $2,068.88 "," $2,482.66 "
" $875,000.00 "," $768,498.17 "," $400,000.00 "," $475,000.00 ",7.0%,45.7%," $4,269.43 "," $192,124.54 "," $230,549.45 "," $1,067.36 "," $1,280.83 "," $100,000.00 "," $120,000.00 "," $5,000.00 "," $6,000.00 "," $7,000.00 ", $(182.64), $(219.17), $(432.64), $(519.17), $(682.64), $(819.17)," $256,166.06 "," $128,083.03 "," $153,699.63 "," $2,134.72 "," $2,561.66 "
" $875,000.00 "," $792,595.57 "," $400,000.00 "," $475,000.00 ",7.5%,45.7%," $4,403.31 "," $198,148.89 "," $237,778.67 "," $1,100.83 "," $1,320.99 "," $100,000.00 "," $120,000.00 "," $5,000.00 "," $6,000.00 "," $7,000.00 ", $(149.17), $(179.01), $(399.17), $(479.01), $(649.17), $(779.01)," $264,198.52 "," $132,099.26 "," $158,519.11 "," $2,201.65 "," $2,641.99 "
" $875,000.00 "," $759,471.15 "," $375,000.00 "," $500,000.00 ",6.0%,42.9%," $4,219.28 "," $189,867.79 "," $227,841.34 "," $1,054.82 "," $1,265.79 "," $93,750.00 "," $112,500.00 "," $5,000.00 "," $6,000.00 "," $7,000.00 ", $(195.18), $(234.21), $(445.18), $(534.21), $(695.18), $(834.21)," $253,157.05 "," $126,578.52 "," $151,894.23 "," $2,109.64 "," $2,531.57 "
" $875,000.00 "," $783,996.63 "," $375,000.00 "," $500,000.00 ",6.5%,42.9%," $4,355.54 "," $195,999.16 "," $235,198.99 "," $1,088.88 "," $1,306.66 "," $93,750.00 "," $112,500.00 "," $5,000.00 "," $6,000.00 "," $7,000.00 ", $(161.12), $(193.34), $(411.12), $(493.34), $(661.12), $(793.34)," $261,332.21 "," $130,666.10 "," $156,799.33 "," $2,177.77 "," $2,613.32 "
" $875,000.00 "," $808,945.44 "," $375,000.00 "," $500,000.00 ",7.0%,42.9%," $4,494.14 "," $202,236.36 "," $242,683.63 "," $1,123.54 "," $1,348.24 "," $93,750.00 "," $112,500.00 "," $5,000.00 "," $6,000.00 "," $7,000.00 ", $(126.46), $(151.76), $(376.46), $(451.76), $(626.46), $(751.76)," $269,648.48 "," $134,824.24 "," $161,789.09 "," $2,247.07 "," $2,696.48 "
" $875,000.00 "," $834,311.12 "," $375,000.00 "," $500,000.00 ",7.5%,42.9%," $4,635.06 "," $208,577.78 "," $250,293.34 "," $1,158.77 "," $1,390.52 "," $93,750.00 "," $112,500.00 "," $5,000.00 "," $6,000.00 "," $7,000.00 ", $(91.23), $(109.48), $(341.23), $(409.48), $(591.23), $(709.48)," $278,103.71 "," $139,051.85 "," $166,862.22 "," $2,317.53 "," $2,781.04 "
" $875,000.00 "," $797,444.70 "," $350,000.00 "," $525,000.00 ",6.0%,40.0%," $4,430.25 "," $199,361.18 "," $239,233.41 "," $1,107.56 "," $1,329.07 "," $87,500.00 "," $105,000.00 "," $5,000.00 "," $6,000.00 "," $7,000.00 ", $(142.44), $(170.93), $(392.44), $(470.93), $(642.44), $(770.93)," $265,814.90 "," $132,907.45 "," $159,488.94 "," $2,215.12 "," $2,658.15 "
" $875,000.00 "," $823,196.46 "," $350,000.00 "," $525,000.00 ",6.5%,40.0%," $4,573.31 "," $205,799.12 "," $246,958.94 "," $1,143.33 "," $1,371.99 "," $87,500.00 "," $105,000.00 "," $5,000.00 "," $6,000.00 "," $7,000.00 ", $(106.67), $(128.01), $(356.67), $(428.01), $(606.67), $(728.01)," $274,398.82 "," $137,199.41 "," $164,639.29 "," $2,286.66 "," $2,743.99 "
" $875,000.00 "," $849,392.72 "," $350,000.00 "," $525,000.00 ",7.0%,40.0%," $4,718.85 "," $212,348.18 "," $254,817.81 "," $1,179.71 "," $1,415.65 "," $87,500.00 "," $105,000.00 "," $5,000.00 "," $6,000.00 "," $7,000.00 ", $(70.29), $(84.35), $(320.29), $(384.35), $(570.29), $(684.35)," $283,130.91 "," $141,565.45 "," $169,878.54 "," $2,359.42 "," $2,831.31 "
" $875,000.00 "," $876,026.68 "," $350,000.00 "," $525,000.00 ",7.5%,40.0%," $4,866.81 "," $219,006.67 "," $262,808.00 "," $1,216.70 "," $1,460.04 "," $87,500.00 "," $105,000.00 "," $5,000.00 "," $6,000.00 "," $7,000.00 ", $(33.30), $(39.96), $(283.30), $(339.96), $(533.30), $(639.96)," $292,008.89 "," $146,004.45 "," $175,205.34 "," $2,433.41 "," $2,920.09 "
" $875,000.00 "," $835,418.26 "," $325,000.00 "," $550,000.00 ",6.0%,37.1%," $4,641.21 "," $208,854.56 "," $250,625.48 "," $1,160.30 "," $1,392.36 "," $81,250.00 "," $97,500.00 "," $5,000.00 "," $6,000.00 "," $7,000.00 ", $(89.70), $(107.64), $(339.70), $(407.64), $(589.70), $(707.64)," $278,472.75 "," $139,236.38 "," $167,083.65 "," $2,320.61 "," $2,784.73 "
" $875,000.00 "," $862,396.29 "," $325,000.00 "," $550,000.00 ",6.5%,37.1%," $4,791.09 "," $215,599.07 "," $258,718.89 "," $1,197.77 "," $1,437.33 "," $81,250.00 "," $97,500.00 "," $5,000.00 "," $6,000.00 "," $7,000.00 ", $(52.23), $(62.67), $(302.23), $(362.67), $(552.23), $(662.67)," $287,465.43 "," $143,732.72 "," $172,479.26 "," $2,395.55 "," $2,874.65 "
" $875,000.00 "," $889,839.99 "," $325,000.00 "," $550,000.00 ",7.0%,37.1%," $4,943.56 "," $222,460.00 "," $266,952.00 "," $1,235.89 "," $1,483.07 "," $81,250.00 "," $97,500.00 "," $5,000.00 "," $6,000.00 "," $7,000.00 ", $(14.11), $(16.93), $(264.11), $(316.93), $(514.11), $(616.93)," $296,613.33 "," $148,306.66 "," $177,968.00 "," $2,471.78 "," $2,966.13 "
" $875,000.00 "," $917,742.24 "," $325,000.00 "," $550,000.00 ",7.5%,37.1%," $5,098.57 "," $229,435.56 "," $275,322.67 "," $1,274.64 "," $1,529.57 "," $81,250.00 "," $97,500.00 "," $5,000.00 "," $6,000.00 "," $7,000.00 ", $24.64 , $29.57 , $(225.36), $(270.43), $(475.36), $(570.43)," $305,914.08 "," $152,957.04 "," $183,548.45 "," $2,549.28 "," $3,059.14 "
" $875,000.00 "," $873,391.82 "," $300,000.00 "," $575,000.00 ",6.0%,34.3%," $4,852.18 "," $218,347.95 "," $262,017.55 "," $1,213.04 "," $1,455.65 "," $75,000.00 "," $90,000.00 "," $5,000.00 "," $6,000.00 "," $7,000.00 ", $(36.96), $(44.35), $(286.96), $(344.35), $(536.96), $(644.35)," $291,130.61 "," $145,565.30 "," $174,678.36 "," $2,426.09 "," $2,911.31 "
" $875,000.00 "," $901,596.12 "," $300,000.00 "," $575,000.00 ",6.5%,34.3%," $5,008.87 "," $225,399.03 "," $270,478.84 "," $1,252.22 "," $1,502.66 "," $75,000.00 "," $90,000.00 "," $5,000.00 "," $6,000.00 "," $7,000.00 ", $2.22 , $2.66 , $(247.78), $(297.34), $(497.78), $(597.34)," $300,532.04 "," $150,266.02 "," $180,319.22 "," $2,504.43 "," $3,005.32 "
" $875,000.00 "," $930,287.26 "," $300,000.00 "," $575,000.00 ",7.0%,34.3%," $5,168.26 "," $232,571.82 "," $279,086.18 "," $1,292.07 "," $1,550.48 "," $75,000.00 "," $90,000.00 "," $5,000.00 "," $6,000.00 "," $7,000.00 ", $42.07 , $50.48 , $(207.93), $(249.52), $(457.93), $(549.52)," $310,095.75 "," $155,047.88 "," $186,057.45 "," $2,584.13 "," $3,100.96 "
" $875,000.00 "," $959,457.79 "," $300,000.00 "," $575,000.00 ",7.5%,34.3%," $5,330.32 "," $239,864.45 "," $287,837.34 "," $1,332.58 "," $1,599.10 "," $75,000.00 "," $90,000.00 "," $5,000.00 "," $6,000.00 "," $7,000.00 ", $82.58 , $99.10 , $(167.42), $(200.90), $(417.42), $(500.90)," $319,819.26 "," $159,909.63 "," $191,891.56 "," $2,665.16 "," $3,198.19 "
" $900,000.00 "," $759,471.15 "," $400,000.00 "," $500,000.00 ",6.0%,44.4%," $4,219.28 "," $189,867.79 "," $227,841.34 "," $1,054.82 "," $1,265.79 "," $100,000.00 "," $120,000.00 "," $5,000.00 "," $6,000.00 "," $7,000.00 ", $(195.18), $(234.21), $(445.18), $(534.21), $(695.18), $(834.21)," $253,157.05 "," $126,578.52 "," $151,894.23 "," $2,109.64 "," $2,531.57 "
" $900,000.00 "," $783,996.63 "," $400,000.00 "," $500,000.00 ",6.5%,44.4%," $4,355.54 "," $195,999.16 "," $235,198.99 "," $1,088.88 "," $1,306.66 "," $100,000.00 "," $120,000.00 "," $5,000.00 "," $6,000.00 "," $7,000.00 ", $(161.12), $(193.34), $(411.12), $(493.34), $(661.12), $(793.34)," $261,332.21 "," $130,666.10 "," $156,799.33 "," $2,177.77 "," $2,613.32 "
" $900,000.00 "," $808,945.44 "," $400,000.00 "," $500,000.00 ",7.0%,44.4%," $4,494.14 "," $202,236.36 "," $242,683.63 "," $1,123.54 "," $1,348.24 "," $100,000.00 "," $120,000.00 "," $5,000.00 "," $6,000.00 "," $7,000.00 ", $(126.46), $(151.76), $(376.46), $(451.76), $(626.46), $(751.76)," $269,648.48 "," $134,824.24 "," $161,789.09 "," $2,247.07 "," $2,696.48 "
" $900,000.00 "," $834,311.12 "," $400,000.00 "," $500,000.00 ",7.5%,44.4%," $4,635.06 "," $208,577.78 "," $250,293.34 "," $1,158.77 "," $1,390.52 "," $100,000.00 "," $120,000.00 "," $5,000.00 "," $6,000.00 "," $7,000.00 ", $(91.23), $(109.48), $(341.23), $(409.48), $(591.23), $(709.48)," $278,103.71 "," $139,051.85 "," $166,862.22 "," $2,317.53 "," $2,781.04 "
" $900,000.00 "," $797,444.70 "," $375,000.00 "," $525,000.00 ",6.0%,41.7%," $4,430.25 "," $199,361.18 "," $239,233.41 "," $1,107.56 "," $1,329.07 "," $93,750.00 "," $112,500.00 "," $5,000.00 "," $6,000.00 "," $7,000.00 ", $(142.44), $(170.93), $(392.44), $(470.93), $(642.44), $(770.93)," $265,814.90 "," $132,907.45 "," $159,488.94 "," $2,215.12 "," $2,658.15 "
" $900,000.00 "," $823,196.46 "," $375,000.00 "," $525,000.00 ",6.5%,41.7%," $4,573.31 "," $205,799.12 "," $246,958.94 "," $1,143.33 "," $1,371.99 "," $93,750.00 "," $112,500.00 "," $5,000.00 "," $6,000.00 "," $7,000.00 ", $(106.67), $(128.01), $(356.67), $(428.01), $(606.67), $(728.01)," $274,398.82 "," $137,199.41 "," $164,639.29 "," $2,286.66 "," $2,743.99 "
" $900,000.00 "," $849,392.72 "," $375,000.00 "," $525,000.00 ",7.0%,41.7%," $4,718.85 "," $212,348.18 "," $254,817.81 "," $1,179.71 "," $1,415.65 "," $93,750.00 "," $112,500.00 "," $5,000.00 "," $6,000.00 "," $7,000.00 ", $(70.29), $(84.35), $(320.29), $(384.35), $(570.29), $(684.35)," $283,130.91 "," $141,565.45 "," $169,878.54 "," $2,359.42 "," $2,831.31 "
" $900,000.00 "," $876,026.68 "," $375,000.00 "," $525,000.00 ",7.5%,41.7%," $4,866.81 "," $219,006.67 "," $262,808.00 "," $1,216.70 "," $1,460.04 "," $93,750.00 "," $112,500.00 "," $5,000.00 "," $6,000.00 "," $7,000.00 ", $(33.30), $(39.96), $(283.30), $(339.96), $(533.30), $(639.96)," $292,008.89 "," $146,004.45 "," $175,205.34 "," $2,433.41 "," $2,920.09 "
" $900,000.00 "," $835,418.26 "," $350,000.00 "," $550,000.00 ",6.0%,38.9%," $4,641.21 "," $208,854.56 "," $250,625.48 "," $1,160.30 "," $1,392.36 "," $87,500.00 "," $105,000.00 "," $5,000.00 "," $6,000.00 "," $7,000.00 ", $(89.70), $(107.64), $(339.70), $(407.64), $(589.70), $(707.64)," $278,472.75 "," $139,236.38 "," $167,083.65 "," $2,320.61 "," $2,784.73 "
" $900,000.00 "," $862,396.29 "," $350,000.00 "," $550,000.00 ",6.5%,38.9%," $4,791.09 "," $215,599.07 "," $258,718.89 "," $1,197.77 "," $1,437.33 "," $87,500.00 "," $105,000.00 "," $5,000.00 "," $6,000.00 "," $7,000.00 ", $(52.23), $(62.67), $(302.23), $(362.67), $(552.23), $(662.67)," $287,465.43 "," $143,732.72 "," $172,479.26 "," $2,395.55 "," $2,874.65 "
" $900,000.00 "," $889,839.99 "," $350,000.00 "," $550,000.00 ",7.0%,38.9%," $4,943.56 "," $222,460.00 "," $266,952.00 "," $1,235.89 "," $1,483.07 "," $87,500.00 "," $105,000.00 "," $5,000.00 "," $6,000.00 "," $7,000.00 ", $(14.11), $(16.93), $(264.11), $(316.93), $(514.11), $(616.93)," $296,613.33 "," $148,306.66 "," $177,968.00 "," $2,471.78 "," $2,966.13 "
" $900,000.00 "," $917,742.24 "," $350,000.00 "," $550,000.00 ",7.5%,38.9%," $5,098.57 "," $229,435.56 "," $275,322.67 "," $1,274.64 "," $1,529.57 "," $87,500.00 "," $105,000.00 "," $5,000.00 "," $6,000.00 "," $7,000.00 ", $24.64 , $29.57 , $(225.36), $(270.43), $(475.36), $(570.43)," $305,914.08 "," $152,957.04 "," $183,548.45 "," $2,549.28 "," $3,059.14 "
" $900,000.00 "," $873,391.82 "," $325,000.00 "," $575,000.00 ",6.0%,36.1%," $4,852.18 "," $218,347.95 "," $262,017.55 "," $1,213.04 "," $1,455.65 "," $81,250.00 "," $97,500.00 "," $5,000.00 "," $6,000.00 "," $7,000.00 ", $(36.96), $(44.35), $(286.96), $(344.35), $(536.96), $(644.35)," $291,130.61 "," $145,565.30 "," $174,678.36 "," $2,426.09 "," $2,911.31 "
" $900,000.00 "," $901,596.12 "," $325,000.00 "," $575,000.00 ",6.5%,36.1%," $5,008.87 "," $225,399.03 "," $270,478.84 "," $1,252.22 "," $1,502.66 "," $81,250.00 "," $97,500.00 "," $5,000.00 "," $6,000.00 "," $7,000.00 ", $2.22 , $2.66 , $(247.78), $(297.34), $(497.78), $(597.34)," $300,532.04 "," $150,266.02 "," $180,319.22 "," $2,504.43 "," $3,005.32 "
" $900,000.00 "," $930,287.26 "," $325,000.00 "," $575,000.00 ",7.0%,36.1%," $5,168.26 "," $232,571.82 "," $279,086.18 "," $1,292.07 "," $1,550.48 "," $81,250.00 "," $97,500.00 "," $5,000.00 "," $6,000.00 "," $7,000.00 ", $42.07 , $50.48 , $(207.93), $(249.52), $(457.93), $(549.52)," $310,095.75 "," $155,047.88 "," $186,057.45 "," $2,584.13 "," $3,100.96 "
" $900,000.00 "," $959,457.79 "," $325,000.00 "," $575,000.00 ",7.5%,36.1%," $5,330.32 "," $239,864.45 "," $287,837.34 "," $1,332.58 "," $1,599.10 "," $81,250.00 "," $97,500.00 "," $5,000.00 "," $6,000.00 "," $7,000.00 ", $82.58 , $99.10 , $(167.42), $(200.90), $(417.42), $(500.90)," $319,819.26 "," $159,909.63 "," $191,891.56 "," $2,665.16 "," $3,198.19 "
" $900,000.00 "," $911,365.37 "," $300,000.00 "," $600,000.00 ",6.0%,33.3%," $5,063.14 "," $227,841.34 "," $273,409.61 "," $1,265.79 "," $1,518.94 "," $75,000.00 "," $90,000.00 "," $5,000.00 "," $6,000.00 "," $7,000.00 ", $15.79 , $18.94 , $(234.21), $(281.06), $(484.21), $(581.06),," $227,841.34 ",,,
" $900,000.00 "," $940,795.95 "," $300,000.00 "," $600,000.00 ",6.5%,33.3%," $5,226.64 "," $235,198.99 "," $282,238.79 "," $1,306.66 "," $1,567.99 "," $75,000.00 "," $90,000.00 "," $5,000.00 "," $6,000.00 "," $7,000.00 ", $56.66 , $67.99 , $(193.34), $(232.01), $(443.34), $(532.01),," $235,198.99 ",,,
" $900,000.00 "," $970,734.53 "," $300,000.00 "," $600,000.00 ",7.0%,33.3%," $5,392.97 "," $242,683.63 "," $291,220.36 "," $1,348.24 "," $1,617.89 "," $75,000.00 "," $90,000.00 "," $5,000.00 "," $6,000.00 "," $7,000.00 ", $98.24 , $117.89 , $(151.76), $(182.11), $(401.76), $(482.11),," $242,683.63 ",,,
" $900,000.00 "," $1,001,173.35 "," $300,000.00 "," $600,000.00 ",7.5%,33.3%," $5,562.07 "," $250,293.34 "," $300,352.00 "," $1,390.52 "," $1,668.62 "," $75,000.00 "," $90,000.00 "," $5,000.00 "," $6,000.00 "," $7,000.00 ", $140.52 , $168.62 , $(109.48), $(131.38), $(359.48), $(431.38),," $250,293.34 ",,,
" $925,000.00 "," $797,444.70 "," $400,000.00 "," $525,000.00 ",6.0%,43.2%," $4,430.25 "," $199,361.18 "," $239,233.41 "," $1,107.56 "," $1,329.07 "," $100,000.00 "," $120,000.00 "," $5,000.00 "," $6,000.00 "," $7,000.00 ", $(142.44), $(170.93), $(392.44), $(470.93), $(642.44), $(770.93)," $265,814.90 "," $132,907.45 "," $159,488.94 "," $2,215.12 "," $2,658.15 "
" $925,000.00 "," $823,196.46 "," $400,000.00 "," $525,000.00 ",6.5%,43.2%," $4,573.31 "," $205,799.12 "," $246,958.94 "," $1,143.33 "," $1,371.99 "," $100,000.00 "," $120,000.00 "," $5,000.00 "," $6,000.00 "," $7,000.00 ", $(106.67), $(128.01), $(356.67), $(428.01), $(606.67), $(728.01)," $274,398.82 "," $137,199.41 "," $164,639.29 "," $2,286.66 "," $2,743.99 "
" $925,000.00 "," $849,392.72 "," $400,000.00 "," $525,000.00 ",7.0%,43.2%," $4,718.85 "," $212,348.18 "," $254,817.81 "," $1,179.71 "," $1,415.65 "," $100,000.00 "," $120,000.00 "," $5,000.00 "," $6,000.00 "," $7,000.00 ", $(70.29), $(84.35), $(320.29), $(384.35), $(570.29), $(684.35)," $283,130.91 "," $141,565.45 "," $169,878.54 "," $2,359.42 "," $2,831.31 "
" $925,000.00 "," $876,026.68 "," $400,000.00 "," $525,000.00 ",7.5%,43.2%," $4,866.81 "," $219,006.67 "," $262,808.00 "," $1,216.70 "," $1,460.04 "," $100,000.00 "," $120,000.00 "," $5,000.00 "," $6,000.00 "," $7,000.00 ", $(33.30), $(39.96), $(283.30), $(339.96), $(533.30), $(639.96)," $292,008.89 "," $146,004.45 "," $175,205.34 "," $2,433.41 "," $2,920.09 "
